title,author,author_gender
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,Unknown
"The Subtle Knife  (His Dark Materials, #2)",Philip Pullman,male
Infinite Jest,David Foster Wallace,male
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,female
"Faust, First Part",Johann Wolfgang von Goethe,male
Death of a Salesman,Arthur  Miller,male
A Streetcar Named Desire,Tennessee Williams,male
Snow Flower and the Secret Fan,Lisa See,Unknown
The Plague,Albert Camus,male
"The Angel Experiment (Maximum Ride, #1)",James Patterson,male
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,Unknown
The Prince,Niccolò Machiavelli,male
Midnight in the Garden of Good and Evil,John Berendt,male
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,male
"Matched (Matched, #1)",Ally Condie,female
The Scarlet Pimpernel,Emmuska Orczy,female
The Chosen (Reuven Malther #1),Chaim Potok,male
11/22/63,Stephen King,male
The Shipping News,Annie Proulx,female
The Remains of the Day,Kazuo Ishiguro,male
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,Unknown
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,female
The Tales of Beedle the Bard,J.K. Rowling,female
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,female
Houdini Heart,Ki Longfellow,female
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,male
"Hopeless (Hopeless, #1)",Colleen Hoover,Unknown
High Fidelity,Nick Hornby,male
Jonathan Strange & Mr Norrell,Susanna Clarke,female
Hamlet,William Shakespeare,male
The Virgin Suicides,Jeffrey Eugenides,male
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,male
The Reader,Bernhard Schlink,male
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,male
Nineteen Minutes,Jodi Picoult,female
Pippi Longstocking,Astrid Lindgren,female
Shantaram,Gregory David Roberts,male
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,male
The Age of Innocence,Edith Wharton,female
"Betrayed (House of Night, #2)",P.C. Cast,female
"Neuromancer (Sprawl, #1)",William Gibson,male
"The Lost Symbol (Robert Langdon, #3)",Dan Brown,male
Redeeming Love,Francine Rivers,female
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,female
Waiting for Godot,Samuel Beckett,male
Dubliners,James Joyce,male
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,male
All the Light We Cannot See,Anthony Doerr,male
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,female
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,male
Northanger Abbey,Jane Austen,female
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,female
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,male
"Untamed (House of Night, #4)",P.C. Cast,female
The Waste Land,T.S. Eliot,male
"The Host (The Host, #1)",Stephenie Meyer,Unknown
The Pearl,John Steinbeck,male
Everything Is Illuminated,Jonathan Safran Foer,Unknown
To the Lighthouse,Virginia Woolf,female
"The Twilight Collection (Twilight, #1-3)",Stephenie Meyer,Unknown
The Jungle,Upton Sinclair,male
Me Talk Pretty One Day,David Sedaris,male
Snow Falling on Cedars,David Guterson,male
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,female
Carrie,Stephen King,male
"I, Robot (Robot, #0.1)",Isaac Asimov,male
"I, Claudius (Claudius, #1)",Robert Graves,male
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,female
The Grapes of Wrath,John Steinbeck,male
A Room with a View,E.M. Forster,male
"Chosen (House of Night, #3)",P.C. Cast,female
"The One (The Selection, #3)",Kiera Cass,Unknown
War and Peace,Leo Tolstoy,male
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,male
The Republic,Plato,male
"Voyager (Outlander, #3)",Diana Gabaldon,Unknown
The Exorcist,William Peter Blatty,male
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,female
Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,male
Bleak House,Charles Dickens,male
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,female
"The Iron King (The Iron Fey, #1)",Julie Kagawa,Unknown
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,male
"Torment (Fallen, #2)",Lauren Kate,female
"Bloodlines (Bloodlines, #1)",Richelle Mead,female
Brideshead Revisited,Evelyn Waugh,male
The God Delusion,Richard Dawkins,Unknown
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,Unknown
North and South,Elizabeth Gaskell,female
The Complete Poems of Emily Dickinson,Emily Dickinson,female
Snow Crash,Neal Stephenson,Unknown
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,Unknown
Vanity Fair,William Makepeace Thackeray,male
"The Summoning (Darkest Powers, #1)",Kelley Armstrong,female
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,female
"Bared to You (Crossfire, #1)",Sylvia Day,female
Of Human Bondage,W. Somerset Maugham,male
Coraline,Neil Gaiman,Unknown
World War Z: An Oral History of the Zombie War,Max Brooks,Unknown
Johnny Got His Gun,Dalton Trumbo,male
"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",Cassandra Clare,female
The War of the Worlds,H.G. Wells,male
Pet Sematary,Stephen King,male
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,male
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,female
"Cry, the Beloved Country",Alan Paton,male
Quantum Roots II: Worm Holes,Kyle Keyes,male
"Chocolat (Chocolat, #1)",Joanne Harris,female
Just Listen,Sarah Dessen,Unknown
"Unwind (Unwind, #1)",Neal Shusterman,male
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,female
The Woman in White,Wilkie Collins,male
The Truth About Forever,Sarah Dessen,Unknown
"A Discovery of Witches (All Souls Trilogy, #1)",Deborah Harkness,female
Are You My Mother?,P.D. Eastman,male
Cannery Row,John Steinbeck,male
Una Historia de Ayer,Sergio Cobo,Unknown
"Angels & Demons (Robert Langdon, #1)",Dan Brown,male
The Arabian Nights,Anonymous,Unknown
Sarah's Key,Tatiana de Rosnay,female
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,male
Trainspotting,Irvine Welsh,male
The Polar Express,Chris Van Allsburg,male
